Date,Description,Amount
2024-03-01,NETFLIX MONTHLY SUBSCRIPTION,-199.00
2024-03-01,SPOTIFY PREMIUM,-74.99
2024-03-02,WOOLWORTHS FOOD DURBAN,-467.00
2024-03-02,VIRGIN ACTIVE MEMBERSHIP,-399.00
2024-03-03,CHECKERS HYPERMARKET,-389.00
2024-03-04,UBER EATS ORDER,-210.00
2024-03-05,BOLT RIDE CITY,-65.00
2024-03-06,TAKEALOT ORDER,-2299.00
2024-03-07,NANDOS UMHLANGA,-245.00
2024-03-08,PICK N PAY MUSGRAVE,-334.00
2024-03-09,VIDA E CAFFE UMHLANGA,-178.00
2024-03-10,STEAM GAME PURCHASE,-450.00
2024-03-11,CHECKERS HYPERMARKET,-412.00
2024-03-12,UBER TRIP UMHLANGA,-120.00
2024-03-13,BILLY THE BUMS RESTAURANT,-760.00
2024-03-14,PLAYSTATION STORE,-299.00
2024-03-15,SALARY PAYMENT EFT,22500.00
2024-03-15,RENT PAYMENT EFT,-7500.00
2024-03-15,TRANSFER TO SAVINGS,-2000.00
2024-03-16,FIBRE INTERNET SUBSCRIPTION,-899.00
2024-03-17,WOOLWORTHS FOOD DURBAN,-423.00
2024-03-18,UBER EATS ORDER,-185.00
2024-03-19,SATURDAY NIGHT OUT PAVILION,-1240.00
2024-03-20,BOLT RIDE HOME,-95.00
2024-03-21,CLICKS PHARMACY,-210.00
2024-03-22,PICK N PAY MUSGRAVE,-289.00
2024-03-23,MR D FOOD DELIVERY,-175.00
2024-03-24,VIRGIN ACTIVE SUPPLEMENT SHOP,-389.00
2024-03-25,UBER TRIP CITY,-110.00
2024-03-26,CHECKERS HYPERMARKET,-356.00
2024-03-27,DSTV STREAMING,-149.00
2024-03-28,VIDA E CAFFE UMHLANGA,-134.00
2024-03-29,PLAYSTATION STORE,-149.00
2024-03-30,UBER EATS ORDER,-220.00
