Date,Description,Amount
2024-02-01,NETFLIX MONTHLY SUBSCRIPTION,-199.00
2024-02-01,SPOTIFY PREMIUM,-74.99
2024-02-02,WOOLWORTHS FOOD DURBAN,-389.00
2024-02-03,VIRGIN ACTIVE MEMBERSHIP,-399.00
2024-02-04,BOLT RIDE CITY,-55.00
2024-02-05,CHECKERS HYPERMARKET,-445.00
2024-02-06,UBER EATS ORDER,-175.00
2024-02-07,TAKEALOT ORDER,-1249.00
2024-02-08,NANDOS GATEWAY,-210.00
2024-02-09,PICK N PAY MUSGRAVE,-312.00
2024-02-10,UBER TRIP UMHLANGA,-110.00
2024-02-11,BILLY THE BUMS RESTAURANT,-580.00
2024-02-12,STEAM GAME PURCHASE,-279.00
2024-02-13,CHECKERS HYPERMARKET,-267.00
2024-02-14,VIDA E CAFFE UMHLANGA,-145.00
2024-02-15,SALARY PAYMENT EFT,22500.00
2024-02-15,RENT PAYMENT EFT,-7500.00
2024-02-15,TRANSFER TO SAVINGS,-1500.00
2024-02-16,FIBRE INTERNET SUBSCRIPTION,-899.00
2024-02-17,WOOLWORTHS FOOD DURBAN,-356.00
2024-02-18,UBER EATS ORDER,-195.00
2024-02-19,PLAYSTATION STORE,-199.00
2024-02-20,BAR LOUNGE NIGHT OUT,-890.00
2024-02-21,BOLT RIDE HOME,-75.00
2024-02-22,CLICKS PHARMACY,-189.00
2024-02-23,PICK N PAY MUSGRAVE,-223.00
2024-02-24,MR D FOOD DELIVERY,-155.00
2024-02-25,VIRGIN ACTIVE SUPPLEMENT SHOP,-420.00
2024-02-26,UBER TRIP CITY,-95.00
2024-02-27,CHECKERS HYPERMARKET,-310.00
2024-02-28,DSTV STREAMING,-149.00
