Date,Description,Amount
2024-01-01,OPENING BALANCE EFT,3200.00
2024-01-01,NETFLIX MONTHLY SUBSCRIPTION,-199.00
2024-01-01,SPOTIFY PREMIUM,-74.99
2024-01-02,WOOLWORTHS FOOD DURBAN,-423.00
2024-01-03,BOLT RIDE HOME,-45.00
2024-01-04,STEERS MUSGRAVE,-89.00
2024-01-05,VIRGIN ACTIVE MEMBERSHIP,-399.00
2024-01-06,CHECKERS HYPERMARKET,-312.00
2024-01-07,UBER EATS ORDER,-145.00
2024-01-08,STEAM GAME PURCHASE,-189.00
2024-01-10,PICK N PAY MUSGRAVE,-267.00
2024-01-12,BOLT RIDE CITY,-55.00
2024-01-13,NANDOS UMHLANGA,-178.00
2024-01-15,SALARY PAYMENT EFT,22500.00
2024-01-15,RENT PAYMENT EFT,-7500.00
2024-01-15,TRANSFER TO SAVINGS,-1000.00
2024-01-16,FIBRE INTERNET SUBSCRIPTION,-899.00
2024-01-17,CHECKERS HYPERMARKET,-289.00
2024-01-18,UBER EATS ORDER,-110.00
2024-01-19,PLAYSTATION STORE,-349.00
2024-01-20,WOOLWORTHS FOOD DURBAN,-198.00
2024-01-21,BOLT RIDE UMHLANGA,-65.00
2024-01-22,KFC MUSGRAVE,-95.00
2024-01-23,CLICKS PHARMACY,-143.00
2024-01-24,PICK N PAY MUSGRAVE,-201.00
2024-01-25,MR D FOOD DELIVERY,-125.00
2024-01-26,VIRGIN ACTIVE SUPPLEMENT SHOP,-310.00
2024-01-27,UBER TRIP CITY,-89.00
2024-01-28,CHECKERS HYPERMARKET,-245.00
2024-01-29,DSTV STREAMING,-149.00
2024-01-30,UBER EATS ORDER,-135.00
